url,positions,positions_top10,positions_top3,traffic,traffic_top10,traffic_top3,cost,cost_top10,cost_top3,rank
egyptianstreets.com,35327,2356,501,18188,1436,348,12432.57953,9781.318673,3590.708498,51
egypttoday.com,148014,6670,1671,76752,3976,897,46334.468,37000.74316,19659.10438,42
ejinsight.com,2816,74,25,1869,54,20,183.8243067,113.6144595,27.17356508,29
ekirikas.com,18326,522,155,15220,436,103,4690.384785,3536.052772,2274.118084,34
eldiario.es,4031495,315624,75417,2396047,229685,57041,3799120.234,3403868.42,2396650.874,46
eldiariony.com,730396,36091,8273,391051,22764,4898,551977.6658,426894.7093,210742.6906,57
electoral-vote.com,882,91,70,772,39,20,6434.646061,6426.19509,6377.394328,82
electronicintifada.net,22674,571,136,13805,381,78,4433.309065,3193.472206,1965.670637,82
electroverse.net,0,0,0,0,0,0,0,0,0,45
elitedaily.com,1892270,83409,14649,1075120,61100,11551,589331.0089,453824.4361,198602.8988,74
elkharttruth.com,11479,618,279,8747,364,146,2913.61547,2650.841109,1875.732733,30
elkodaily.com,29584,1034,332,22347,714,193,11351.21836,9859.212886,7579.284301,51
elle.com,10123425,1266044,387721,5549209,751057,244610,21843708.98,19969103.94,12491143.67,49
elmundo.es,11667044,1450649,426851,5487129,843927,258014,27745184.78,26097033,19389626.92,70
elnuevodia.com,391186,21872,5935,187260,12948,3185,321881.7687,271238.362,194581.635,41
elpais.com,17191708,1947357,473002,8775586,1241055,330025,30266286.82,27608889.07,18175277.31,87
elpasotimes.com,369310,25624,6486,268698,19622,5153,455703.6218,383227.9013,218849.0075,44
eluniverso.com,2998681,275002,64488,1275525,141691,35387,3491392.916,3036339.107,1596890.228,42
eluxemagazine.com,27614,979,149,18603,682,109,4108.5387,3100.536801,883.4061917,44
emerging-europe.com,27076,1182,386,12239,537,166,4230.465623,3280.868957,1345.820377,49
emirates247.com,78780,2852,691,54736,1914,463,25591.35355,21325.59673,8538.061405,39
empirenews.net,2823,209,97,2251,162,73,2261.806248,2129.673837,1502.000417,40
empiresports.co,2,0,0,2,0,0,0,0,0,25
emptywheel.net,5059,147,85,4080,56,11,15043.11888,14804.45571,14500.60932,36
en.granma.cu,1212,59,35,951,40,22,120.4263368,99.76463395,55.38469933,35
en.hawarnews.com,0,0,0,0,0,0,0,0,0,33
en.mediamass.net,87999,11553,2336,50745,8680,2004,60952.82431,48860.33777,17811.10456,35
en.mehrnews.com,43587,1324,416,20820,635,165,12811.41545,9852.996205,2163.659066,54
en.mercopress.com,27264,746,151,18390,559,104,3411.850779,2492.046762,1424.163084,55
en.metapedia.org,6679,100,15,3835,77,14,334.6903227,219.7960853,77.00221667,33
en.newsner.com,74408,3288,606,51570,2434,466,25699.65942,19086.34168,8567.771857,37
en.protothema.gr,29570,994,304,18547,669,187,45129.88582,43902.98701,41655.73823,40
en.radiovaticana.va,2,1,1,2,1,1,0.230615138,0,0,26
en.wikinews.org,30934,627,158,21894,499,101,2183.259284,1153.68965,400.0600939,54
en.yna.co.kr,160809,3622,921,67592,2441,575,36552.7935,26134.87035,9736.762181,86
en-bref.fr,972,114,12,862,109,12,452.610096,343.4322101,37.49767083,24
endingthefed.com,1,0,0,1,0,0,0,0,0,25
endoftheamericandream.com,87,32,28,65,13,10,198.9402513,195.7395605,191.914,83
endtimeheadlines.org,2287,88,63,2019,22,11,1272.445536,1225.155924,1201.519,52
energycitizens.org,55,13,12,43,3,2,54.36875121,52.50208941,45.87,40
enewscourier.com,22962,1381,411,18662,1071,265,10265.89252,9130.97056,4528.712197,30
engadget.com,2109815,77708,14046,1165786,54651,9295,752049.7324,601706.9702,224811.8953,15
english.ahram.org.eg,222229,6122,1460,100187,3705,805,149419.1667,125072.5331,33933.7573,72
english.alarabiya.net,379002,20095,7022,200812,9927,2919,443303.7096,403284.1688,262558.5656,81
english.almanar.com.lb,8383,776,432,3928,203,109,13058.23192,12575.36596,9871.815146,46
english.cctv.com,10239,934,573,6306,272,119,9333.922861,9048.850711,5473.070028,81
english.chosun.com,5735,155,87,3363,96,52,911.5894298,753.5279844,464.4003212,54
entrepreneur.com,1461964,84150,15691,848307,54757,9865,552126.9504,432091.4073,169993.5707,54
en-volve.com,199,2,0,171,2,0,3.624292738,0.590558003,0,38
epi.org,195731,16046,3517,138382,11341,2388,110757.2787,95715.67665,56692.67673,47
eppc.org,3589,220,100,2714,124,48,1690.741815,1593.61384,1274.643065,54
erlc.com,27668,2173,399,20179,1807,335,13398.22433,11290.50312,6615.39566,75
escapeallthesethings.com,438,10,0,390,10,0,23.25130793,12.31056757,0,38
espn.com,13789961,3367056,1322157,5396143,1605252,724082,139382736.4,134299069.3,99253634.16,80
esquire.com,7240599,803141,218777,3801829,447732,126080,9569612.776,8433153.886,4697716.08,46
eugenics.news,0,0,0,0,0,0,0,0,0,39
euobserver.com,36551,1484,642,20004,717,203,6050.832693,4217.135902,1720.631028,75
euractiv.com,294437,10100,1600,133762,5910,996,73919.92741,53996.5718,25205.74953,81
eurasiagroup.net,7953,778,350,4128,248,121,16620.71752,16283.88182,14147.40173,43
eurasiareview.com,41359,813,141,30879,583,92,5657.192416,4311.42977,1505.781336,40
euromaidanpress.com,31739,2198,879,15697,995,320,35155.7025,32987.85689,23696.57056,52
